id,name,title,company,event_role,session_topic,source_url
1,Shradha Sharma,Founder & CEO,YourStory & The Bharat Project,Welcome Address,Ushering India's AI revolution @ TechSparks,https://techsparks.yourstory.com/blr-25-agenda-items/ushering-indias-ai-revolution-techsparks
2,Sangeeta Bavi,COO,YourStory,Panel Discussion,India's next-gen tech stack: Engineering intelligence for a billion users,https://techsparks.yourstory.com/blr-25-agenda-items/indias-next-gen-tech-stack-engineering-intelligence-for-a-billion-users
3,Madanmohan Rao,Research Director,YourStory,Panel Discussion,Intelligence in motion: Building AI-ready businesses,https://techsparks.yourstory.com/blr-25-agenda-items/intelligence-in-motion-building-ai-ready-businesses
4,Shivani Muthanna,Senior Director - Strategic Partnership and Content,YourStory,Panel Discussion,The resilience playbook: Scaling in India’s lending landscape,https://techsparks.yourstory.com/blr-25-agenda-items/the-resilience-playbook-scaling-in-indias-lending-landscape
5,Rishabh Mansur,Head Content Categories,YourStory,Panel Discussion,Agentic AI and the new CX playbook,https://techsparks.yourstory.com/blr-25-agenda-items/agentic-ai-and-the-new-cx-playbook
6,Abhishek Poddar,Co-founder & CEO,Plum,Panel Discussion,Assisted to autonomous: AI and the future of fintech,https://techsparks.yourstory.com/blr-25-agenda-items/assisted-to-autonomous-ai-and-the-future-of-fintech
7,Aditya Soni,Founder & CEO,CheQ,Product Showcase,CheQ Wisor — India’s first AI credit card expert,https://techsparks.yourstory.com/blr-25-agenda-items/cheq-wisor-indias-first-ai-credit-card-expert
8,Amrit Acharya,Co-founder & CEO,Zetwerk,Fireside Chat,The energy cost of intelligence: How AI is reshaping global power demand,https://techsparks.yourstory.com/blr-25-agenda-items/the-energy-cost-of-intelligence-how-ai-is-reshaping-global-power-demand
9,Arzan Singpurwalla,Lead Channel Partnerships - Business Messaging - India,Meta,Keynote Address,"Connect, converse, convert: The digital commerce wave of tomorrow",https://techsparks.yourstory.com/blr-25-agenda-items/connect-converse-convert-the-digital-commerce-wave-of-tomorrow
10,Hemant Gala,CEO,PhonePe Lending,Panel Discussion,The resilience playbook: Scaling in India’s lending landscape,https://techsparks.yourstory.com/blr-25-agenda-items/the-resilience-playbook-scaling-in-indias-lending-landscape
11,Madhusudhan Rao,CTO,Swiggy,Panel Discussion,Intelligence in motion: Building AI-ready businesses,https://techsparks.yourstory.com/blr-25-agenda-items/intelligence-in-motion-building-ai-ready-businesses
12,Mohit Saxena,Co-founder & CTO,Inmobi,Panel Discussion,India's next-gen tech stack: Engineering intelligence for a billion users,https://techsparks.yourstory.com/blr-25-agenda-items/indias-next-gen-tech-stack-engineering-intelligence-for-a-billion-users
13,Noi Cecilia Oldne,Investor & Chief India Representative,Sweden-India Business Council,Panel Discussion,The borderless blueprint: Sweden and India’s innovation alliance,https://techsparks.yourstory.com/blr-25-agenda-items/the-borderless-blueprint-sweden-and-indias-innovation-alliance
14,Priya Patankar,Head of Corporate Communications,PhonePe,Panel Discussion,Building India's AI-powered digital infra: From payments to data at scale,https://techsparks.yourstory.com/blr-25-agenda-items/building-indias-ai-powered-digital-infra-from-payments-to-data-at-scale
15,Ronnie Screwvala,Co-founder,upGrad & Swades Foundation,Fireside Chat,Building the next big thing: How to win in India’s AI and deep tech decade,https://techsparks.yourstory.com/blr-25-agenda-items/building-the-next-big-thing-how-to-win-in-indias-ai-and-deep-tech-decade
16,Sandeep Alur,CTO,"Microsoft Innovation Hub, Microsoft India",Panel Discussion,Making AI real: Where creativity meets intelligence and scale,https://techsparks.yourstory.com/blr-25-agenda-items/making-ai-real-where-creativity-meets-intelligence-and-scale
17,Sandeep Jethwani,Co-founder,Dezerv,Panel Discussion,Assisted to autonomous: AI and the future of fintech,https://techsparks.yourstory.com/blr-25-agenda-items/assisted-to-autonomous-ai-and-the-future-of-fintech
18,Sanjay Mohan,Group Chief Technology Officer,MakeMyTrip,Panel Discussion,India's next-gen tech stack: Engineering intelligence for a billion users,https://techsparks.yourstory.com/blr-25-agenda-items/indias-next-gen-tech-stack-engineering-intelligence-for-a-billion-users
19,Sanjay Tripathy,Co-founder & CEO,BRISKPE,Panel Discussion,Assisted to autonomous: AI and the future of fintech,https://techsparks.yourstory.com/blr-25-agenda-items/assisted-to-autonomous-ai-and-the-future-of-fintech
20,Srinath Ramakkrushnan,Co-founder & COO,Zetwerk,Fireside Chat,The energy cost of intelligence: How AI is reshaping global power demand,https://techsparks.yourstory.com/blr-25-agenda-items/the-energy-cost-of-intelligence-how-ai-is-reshaping-global-power-demand
21,Takahisa Ohira,Head of Asia Region,Deloitte Tohmatsu Venture Support,Panel Discussion,The global career code: Why Japan is betting on Indian minds,https://techsparks.yourstory.com/blr-25-agenda-items/the-global-career-code-why-japan-is-betting-on-indian-minds
22,Vishal Gupta,CEO,PhonePe Insurance,Fireside Chat,Insurtech for all: Reimagining India’s insurance future,https://techsparks.yourstory.com/blr-25-agenda-items/insurtech-for-all-reimagining-indias-insurance-future
23,Abilash Narahari,VP - Head of Technology & Digital Natives,QualityKiosk Technologies,Panel Discussion,Intelligence at speed: How cloud-native AI is redefining agility in business,https://techsparks.yourstory.com/blr-25-agenda-items/intelligence-at-speed-how-cloud-native-ai-is-redefining-agility-in-business
24,Achyutha Sharma,Design & User research Expert,Dvara Research,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/achyutha-sharma
25,Adithyan RK,Co-founder & CEO,Hyring Inc,Keynote Address,"Fair, fast, and human: Reimagining recruitment with AI agents",https://techsparks.yourstory.com/blr-25-agenda-items/fair-fast-and-human-reimagining-recruitment-with-ai-agents
26,Aditya Ruia,Co-founder,BECO,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/aditya-ruia
27,Adrian Schmidt,Co-founder & CEO,Sarla Aviation,Panel Discussion,Deepening India's deeptech vision with robotics in real-world systems,https://techsparks.yourstory.com/blr-25-agenda-items/deepening-indias-deeptech-vision-with-robotics-in-real-world-systems
28,Ajeesh Achuthan,Co-founder & CTO,Open Financial Technologies,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakersb/ajeesh-achuthan
29,Ajit Narayanan,CTPO,Licious,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/ajit-narayanan
30,Akis Evangelidis,Co-founder & India President,Nothing,Panel Discussion,"AI, Access, Ambition: How India Builds the Future of Global Apps",https://techsparks.yourstory.com/blr-25-agenda-items/ai-access-ambition-how-india-builds-the-future-of-global-apps
31,Akshat Kansal,CTO,KIWI,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakersb/akshat-kansal
32,Alok Goyal,Partner,Stellaris Venture Partners,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/alok-goyal
33,Amit Purohit,Program Manager,iStart Rajasthan,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/amit-purohit
34,Amit Ramani,Founder & CEO,Awfis Space Solutions,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/amit-ramani
35,Anand Jain,Co-founder,CleverTap,Panel Discussion,Agentic AI and the new CX playbook,https://techsparks.yourstory.com/blr-25-agenda-items/agentic-ai-and-the-new-cx-playbook
36,Ananda Matthur,VP of Engineering,Urban Company,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/ananda-matthur
37,Ananth Narayanan,Founder & CEO,BRND.ME (formerly Mensa Brands),Fireside Chat,From India for the world: Scaling digital-first consumer brands,https://techsparks.yourstory.com/blr-25-agenda-items/from-india-for-the-world-scaling-digital-first-consumer-brands
38,Ananth Narayanan,Founder & CEO,Mensa Brands,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/ananth-narayanan
39,Ananth Shroff,Founder,DPDzero,Keynote Address,Confrontation to compassion: Embedding empathy into debt collection with AI,https://techsparks.yourstory.com/blr-25-agenda-items/confrontation-to-compassion-embedding-empathy-into-debt-collection-with-ai
40,Angad V Raghavan,COO AutoVRse,Unknown Company,Panel Discussion,Building the next reality: The future of AR/VR in India,https://techsparks.yourstory.com/blr-25-agenda-items/building-the-next-reality-the-future-of-ar-vr-in-india
41,Anil Agrawal,Member,Competition Commission of India,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/anil-agrawal
42,Aniruddha Patwardhan,Head of Engineering,PhonePe,Panel Discussion,Building India's AI-powered digital infra: From payments to data at scale,https://techsparks.yourstory.com/blr-25-agenda-items/building-indias-ai-powered-digital-infra-from-payments-to-data-at-scale
43,Anirudh Sharma,Co-founder & CEO,Digantara,Panel Discussion,Intelligence-driven Earth: The business case for geospatial AI,https://techsparks.yourstory.com/blr-25-agenda-items/intelligence-driven-earth-the-business-case-for-geospatial-ai
