id,name,title,company,event_role,session_topic,source_url
78,Dhruv Gupta,Co-founder,Orange Health Labs,Panel Discussion,Intelligent health: Building the future of care with AI,https://techsparks.yourstory.com/blr-25-agenda-items/intelligent-health-building-the-future-of-care-with-ai
79,Dhruv Joshi,Co-founder & Global CEO,Cloudphysician,Panel Discussion,Doctor-on-cloud: Role of AI in critical to chronic care,https://techsparks.yourstory.com/blr-25-agenda-items/doctor-on-cloud-role-of-ai-in-critical-to-chronic-care
80,Dimple Sadhwani,Co-founder,PrivateBlok,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/dimple-sadhwani
81,Divya Krishnamurthy,Senior Technical Architect,"Microsoft Technology Center, India",Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/divya-krishnamurthy
82,Dr. Rohini Srivathsa,CTO,Microsoft India and South Asia,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/dr-rohini-srivathsa
83,Dr. Sreedhara Panicker Somanath,Chairman,Indian Space Research Organisation,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/dr-sreedhara-panicker-somanath
84,Dr. Tapan Sahoo,Executive Officer,"Head of Digital Enterprise, Maruti Suzuki India Limited",Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/dr-tapan-sahoo
85,Dushyant Mishra,Founder & CEO,Rapid Claims,Panel Discussion,The AI founder DNA: What it takes to build in the AI era,https://techsparks.yourstory.com/blr-25-agenda-items/the-ai-founder-dna-what-it-takes-to-build-in-the-ai-era
86,DVS Shiv Kumar,Solutions Architect,OVHcloud,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakersb/dvs-shiv-kumar
87,Emma Rozada,Founder,"Interplanetary Species, Nexular & Techno Creatives Venture",Panel Discussion,The borderless blueprint: Sweden and India’s innovation alliance,https://techsparks.yourstory.com/blr-25-agenda-items/the-borderless-blueprint-sweden-and-indias-innovation-alliance
88,Enbasekar D,Co-founder & CTO,MediBuddy,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/enbasekar-d
89,Ganesh Ramakrishnan,PI - BharatGen; Professor,IIT Bombay,Masterclass,Sovereign and shared: Frugally scalable multilingual–multimodal AI for Bharat,https://techsparks.yourstory.com/blr-25-agenda-items/sovereign-and-shared-frugally-scalable-multilingual-multimodal-ai-for-bharat
90,Gaurav Hinduja,Co-Founder,axio,Panel Discussion,The resilience playbook: Scaling in India’s lending landscape,https://techsparks.yourstory.com/blr-25-agenda-items/the-resilience-playbook-scaling-in-indias-lending-landscape
91,Gautam Aggarwal,President,"India & South Asia, Mastercard",Fireside Chat,Building Bharat: How AI is changing the fintech game,https://techsparks.yourstory.com/blr-25-agenda-items/building-bharat-how-ai-is-changing-the-fintech-game
92,Goutam Kurumella,Head of Startup Solutions Architecture,AWS,Panel Discussion,Intelligence at speed: How cloud-native AI is redefining agility in business,https://techsparks.yourstory.com/blr-25-agenda-items/intelligence-at-speed-how-cloud-native-ai-is-redefining-agility-in-business
93,Hardika Shah,Founder & CEO,Kinara Capital,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakersb/hardika-shah
94,Harshil Mathur,Co-founder & CEO,Razorpay,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/harshil-mathur
95,Hemant Kamatgi,Vice President of Customer Experience Platforms,Ford Motor Company,Lightning Talk,The future of software development in the age of AI,https://techsparks.yourstory.com/blr-25-agenda-items/the-future-of-software-development-in-the-age-of-ai
96,Hemant Mohapatra,Partner,Lightspeed India,Panel Discussion,Aatmanirbhar AI: Building an independent intelligence economy,https://techsparks.yourstory.com/blr-25-agenda-items/aatmanirbhar-ai-building-an-independent-intelligence-economy
97,Hon'ble Minister Shri Kinjarapu Rammohan Naidu,Union Minister of Civil Aviation,Govt. of India,Fireside Chat,Sky’s the limit: Building a global drone hub from India,https://techsparks.yourstory.com/blr-25-agenda-items/skys-the-limit-building-a-global-drone-hub-from-india
98,Hon'ble Minister Shri Priyank Kharge,Minister for Electronics,"IT, BT, and Rural Development & Panchayat Raj, Govt. of Karnataka",Fireside Chat,The startup state: Powering India’s entrepreneurial decade,https://techsparks.yourstory.com/blr-25-agenda-items/the-startup-state-powering-indias-entrepreneurial-decade
99,Ipsita Basu,Director - Creative Content,YourStory,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakersb/ipsita-basu
100,Ish Babbar,Co-founder & CTO,InsuranceDekho,Fireside Chat,"Local, digital, inclusive: Bridging the insurance gulf for Bharat",https://techsparks.yourstory.com/blr-25-agenda-items/local-digital-inclusive-bridging-the-insurance-gulf-for-bharat
101,Jagjeet Singh,Managing Director,Digireha,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/jagjeet-singh
102,Jaydeep Deshpande,Group Field Marketing Manager - Direct & Partner,Google Cloud,Panel Discussion,Intelligent enterprises: Designing human-centric growth in the age of AI,https://techsparks.yourstory.com/blr-25-agenda-items/intelligent-enterprises-designing-human-centric-growth-in-the-age-of-ai
103,Jigar Halani,Director - Solution Architect & Engg,NVIDIA,Masterclass,Building and deploying scalable and economic GenAI solutions for all industries,https://techsparks.yourstory.com/blr-25-agenda-items/building-and-deploying-scalable-and-economic-genai-solutions-for-all-industries
104,Jithendra Vepa,Co-founder & CTO,Observe.AI,Panel Discussion,Age of AI teammates: Redefining productivity and workplace collaboration,https://techsparks.yourstory.com/blr-25-agenda-items/age-of-ai-teammates-redefining-productivity-and-workplace-collaboration
105,Jollydeep Kaur,Head of Marketing,NextGen Cloud Technologies,Panel Discussion,Intelligent enterprises: Designing human-centric growth in the age of AI,https://techsparks.yourstory.com/blr-25-agenda-items/intelligent-enterprises-designing-human-centric-growth-in-the-age-of-ai
106,Jonathan Ross,Founder & CEO,Groq,Fireside Chat,Speed meets scale: India’s moment in AI infrastructure,https://techsparks.yourstory.com/blr-25-agenda-items/speed-meets-scale-indias-moment-in-ai-infrastructure
107,Kaivalya Vohra,Co-founder,Zepto,Fireside Chat,Inside Zepto & the algorithm powering instant fulfilment,https://techsparks.yourstory.com/blr-25-agenda-items/beyond-blitzscaling-zepto-and-the-economics-of-10-minute-commerce
108,Kanishk Singh,Assistant Editor,YourStory,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakersb/kanishk-singh
109,Kaushik Das,Managing Director,Catalyst Brands India,Panel Discussion,GenAI engineering for the enterprise: From hype to high-impact systems,https://techsparks.yourstory.com/blr-25-agenda-items/efficiency-to-intelligence-reimagining-gccs-for-the-ai-age
110,Kaushik Das,Vice President & Managing Director,JCPenney India,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/kaushik-das
111,Kaushik Mudda,Co-founder & CEO,Ethereal Machines,Panel Discussion,Deepening India's deeptech vision with robotics in real-world systems,https://techsparks.yourstory.com/blr-25-agenda-items/deepening-indias-deeptech-vision-with-robotics-in-real-world-systems
112,Kavin KK,Managing Partner Startup Banking,IDFC FIRST Bank,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakersb/kavin-kk
113,Kavita Viswanath,SVP & India Country Lead,Toast,Keynote Address,Trust at scale: An era of sustainable AI governance,https://techsparks.yourstory.com/blr-25-agenda-items/trust-at-scale-an-era-of-sustainable-ai-governance
114,Keshav Reddy,Founder,Equal,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/keshav-reddy
115,Khadim Batti,Co-founder & CEO,Whatfix,Panel Discussion,AI in enterprise: hype v/s reality,https://techsparks.yourstory.com/blr-25-agenda-items/ai-in-enterprise-hype-v-s-reality
116,Kiyoko Hashiba,Director for Global Promotion,Tokyo Metropolitan Government,Panel Discussion,Tokyo calling: A new launchpad for India’s startups,https://techsparks.yourstory.com/blr-25-agenda-items/tokyo-calling-a-new-launchpad-for-indias-startups
117,Kiyoko HASHIBA,Director for Global Promotion,"Strategy Promotion Division Office for Startup and Global Financial City Strategy, Tokyo Metropolitan Government",Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/kiyoko-hashiba
118,Krishnendu Majumdar,CPTO,Yubi,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/krishnendu-majumdar
119,Kshitij Khandelwal,Founder & CTO,Pixxel,Panel Discussion,Intelligence in motion: Building AI-ready businesses,https://techsparks.yourstory.com/blr-25-agenda-items/intelligence-in-motion-building-ai-ready-businesses
120,Kunal Bahl,Co-founder,Snapdeal & Titan Capital,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/kunal-bahl
121,Kunal Kapoor,Actor & Co-founder,Ketto,Fireside Chat,"Beyond the Spotlight: Kunal Kapoor on Storytelling, Startups, and Staying True",https://techsparks.yourstory.com/blr-25-agenda-items/art-of-storytelling-how-authentic-narratives-build-trust-attract-capital-and-create-loyal-communities
122,Kushal Manupati,Growth and Operations Lead,"South Asia, Binance",Fireside Chat,"Powering India’s Web3 future with Binance: Innovation, skills, trust in digital finance",https://techsparks.yourstory.com/blr-25-agenda-items/powering-indias-web3-future-with-binance-innovation-skills-trust-in-digital-finance
123,Laina Emmanuel,Co-founder & CEO,BrainSightAI,Panel Discussion,Doctor-on-cloud: Role of AI in critical to chronic care,https://techsparks.yourstory.com/blr-25-agenda-items/doctor-on-cloud-role-of-ai-in-critical-to-chronic-care
124,Lalit Keshre,Co-founder & CEO,Groww,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/lalit-keshre
125,Lathika Pai,Country Head,"Venture Capital and Private Equity Partnerships, Microsoft",Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/lathika-pai
126,Lisa Ericsson,Head of KTH Innovation & CEO,KTH Ventures,Panel Discussion,The borderless blueprint: Sweden and India’s innovation alliance,https://techsparks.yourstory.com/blr-25-agenda-items/the-borderless-blueprint-sweden-and-indias-innovation-alliance
127,Mabel Chacko,Co-founder & COO,Open Financial Technologies,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/mabel-chacko
128,Madan Padaki,Founder & CEO,1Bridge,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/madan-padaki
129,Madhur Makkar,Principal,RTP Global,Panel Discussion,Aatmanirbhar AI: Building an independent intelligence economy,https://techsparks.yourstory.com/blr-25-agenda-items/aatmanirbhar-ai-building-an-independent-intelligence-economy
130,Malini Dutt,Trade and Investment Commissioner,"India, NSW",Panel Discussion,"Investing in India’s global tech moment, powered by intelligence",https://techsparks.yourstory.com/blr-25-agenda-items/investing-in-indias-global-tech-moment-powered-by-intelligence
131,Manav Garg,Co-founder & Managing Partner,Together Fund,Panel Discussion,The AI founder DNA: What it takes to build in the AI era,https://techsparks.yourstory.com/blr-25-agenda-items/the-ai-founder-dna-what-it-takes-to-build-in-the-ai-era
132,Mandeep Julka,Vice President,Chiratae Ventures,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/mandeep-julka
133,Manoj Agarwal,Co-founder & President,DevRev,Panel Discussion,Age of AI teammates: Redefining productivity and workplace collaboration,https://techsparks.yourstory.com/blr-25-agenda-items/age-of-ai-teammates-redefining-productivity-and-workplace-collaboration
